product_name,status,baseline_month,coverage,confidence,baseline_price,model_baseline_price,predicted_price,price_delta_pct,predicted_volume,baseline_risk,baseline_risk_score,risk_score,risk
Pumpkin_Leaf,ok,month 10,india: sourced in 2/7 months,india: low-confidence,70.0,70.4957054715826,71.03899490141265,0.7706702503304408,2417.25,Low,0.20320896673534605,0.18907501132976018,Low
Radish_Red,no_applicable_shock,month 10,india: never sourced (10 months present),,,,,,,,,,
Radish_White,ok,month 10,india: sourced in 3/10 months,india: low-confidence,42.28,42.29427308580901,44.43986249842916,5.073002220104494,184202.66666666666,Low,0.1032022399799608,0.10316459563948747,Low
Rajma,ok,month 10,india: sourced in 3/9 months,india: low-confidence,124.6,125.51168965177801,133.23362807985296,6.152365926631087,18231.666666666664,Low,0.1565423911315001,0.2192148216353874,Low
Red_Grapes,no_applicable_shock,month 10,india: never sourced (8 months present),,,,,,,,,,
Sajiwan,ok,month 10,india: sourced in 6/9 months,india: reliable,250.0,249.35606141432996,247.3350350152238,-0.8104982039109143,3133.833333333333,Medium,0.3347375165247216,0.34678352111780053,Medium
Sarifa,ok,"month 6 (fallback, no month-10 data)",india: sourced in 2/4 months,india: low-confidence,325.0,269.2391800422863,260.25277967943833,-3.337701578736263,896.0,Low,0.0,0.666666665974359,Medium
Smooth_Gourd,ok,month 10,india: sourced in 3/10 months,india: low-confidence,78.26,87.35597138141469,87.91934377110677,0.644915717589889,147307.0,Low,0.19384507240755788,0.1967699114479809,Low
Snake_Gourd,ok,month 10,india: sourced in 2/9 months,india: low-confidence,90.0,91.44628657823347,92.1323109264226,0.7501937736993147,51511.25,Low,0.09735409873773934,0.08826660479116505,Low
Soya_Bean_Green,no_applicable_shock,"month 4 (fallback, no month-10 data)",india: never sourced (4 months present),,,,,,,,,,
Spinach_Leaf,no_applicable_shock,month 10,india: never sourced (10 months present),,,,,,,,,,
Sponge_Gourd,no_applicable_shock,"month 9 (fallback, no month-10 data)",india: never sourced (5 months present),,,,,,,,,,
